Number	xmin	xmax	ymin	ymax
1	396	402	0	5
2	441	464	0	20
3	519	525	0	4
4	645	658	0	5
5	887	900	0	4
6	1201	1221	0	13
7	1395	1397	0	1
8	1401	1405	0	8
9	1446	1495	0	29
10	335	340	5	11
11	1744	1758	5	20
12	1379	1386	7	14
13	1158	1162	8	14
14	1711	1717	8	15
15	2031	2040	8	19
16	610	612	10	12
17	1042	1052	11	19
18	1358	1360	12	14
19	394	408	13	23
20	422	424	14	16
21	1843	1847	16	21
22	290	292	17	19
23	495	500	17	23
24	1563	1569	17	22
25	797	813	22	34
26	934	938	22	28
27	2066	2068	22	24
28	1130	1141	23	33
29	1365	1367	23	25
30	1232	1240	25	38
31	2144	2149	25	30
32	1246	1250	28	34
33	469	477	29	38
34	2153	2155	30	32
35	2270	2285	30	43
36	982	984	31	33
37	1906	1909	31	34
38	2266	2268	31	33
39	580	585	32	37
40	546	548	34	36
41	843	877	36	78
42	1458	1462	37	41
43	813	818	38	44
44	772	774	39	42
45	730	735	42	46
46	1262	1266	42	45
47	2242	2244	42	44
48	2280	2282	44	46
49	566	582	45	58
50	696	702	45	50
51	1145	1148	45	47
52	750	755	46	51
53	2071	2073	46	48
54	714	718	47	51
55	1397	1399	47	49
56	1461	1463	47	49
57	1977	1985	49	54
58	757	759	50	52
59	1424	1426	52	54
60	1724	1726	52	54
61	546	548	54	56
62	2097	2105	54	63
63	2252	2254	54	56
64	350	356	55	61
65	1660	1667	56	62
66	480	488	57	63
67	561	568	59	72
68	2283	2285	59	61
69	490	503	62	74
70	820	838	62	79
71	1233	1240	62	69
72	2106	2123	62	82
73	669	671	63	65
74	1941	1953	64	74
75	841	844	65	68
76	1148	1172	65	79
77	1734	1736	65	67
78	878	883	66	71
79	636	646	67	74
80	1476	1478	68	70
81	1405	1408	69	72
82	65	69	70	77
83	1426	1428	70	72
84	1176	1178	71	73
85	908	917	72	80
86	848	850	73	75
87	852	855	73	75
88	861	863	73	75
89	1581	1583	73	75
90	659	661	74	76
91	1259	1261	74	76
92	1429	1432	74	76
93	145	147	75	77
94	324	331	75	81
95	1212	1219	76	86
96	718	726	77	83
97	1428	1431	78	81
98	2147	2149	78	80
99	689	696	80	85
100	1132	1139	81	87
101	126	136	83	91
102	671	675	83	86
103	2265	2276	84	93
104	896	898	85	87
105	1729	1734	85	91
106	1891	1908	85	97
107	184	186	86	88
108	217	219	86	88
109	277	291	86	95
110	515	517	86	88
111	1212	1214	86	88
112	898	900	87	89
113	1154	1162	87	93
114	1803	1809	87	92
115	2213	2216	87	90
116	2247	2257	88	97
117	998	1012	89	100
118	67	72	90	94
119	1040	1042	90	92
120	1214	1216	90	92
121	350	357	91	95
122	880	910	93	132
123	1181	1185	93	95
124	447	450	95	97
125	1521	1533	96	106
126	572	577	97	102
127	911	916	98	102
128	2237	2240	98	101
129	89	96	100	107
130	1025	1027	100	102
131	2225	2237	100	111
132	832	838	101	105
133	68	72	102	106
134	416	427	102	108
135	484	493	102	109
136	1027	1039	103	117
137	95	98	104	106
138	1494	1513	105	122
139	1443	1445	108	110
140	114	135	110	129
141	179	186	110	114
142	1084	1088	111	116
143	2220	2222	111	113
144	695	698	112	115
145	798	802	112	114
146	2092	2109	112	129
147	1131	1141	113	122
148	1824	1826	113	115
149	1071	1089	115	133
150	80	82	117	119
151	2047	2062	119	137
152	2138	2147	119	127
153	1792	1823	123	139
154	2214	2225	123	135
155	1021	1027	124	130
156	1802	1804	126	128
157	1596	1606	127	137
158	1852	1862	127	134
159	388	397	129	136
160	503	524	129	148
161	1232	1246	129	143
162	1845	1850	129	133
163	103	105	132	134
164	702	704	133	135
165	2187	2189	134	136
166	1744	1762	136	151
167	834	848	137	152
168	2185	2188	137	140
169	742	751	139	145
170	2289	2296	139	144
171	1650	1688	140	176
172	669	685	141	154
173	2234	2237	142	146
174	330	332	143	146
175	1819	1836	143	156
176	713	720	145	151
177	1839	1843	147	152
178	302	307	150	153
179	422	435	151	160
180	544	571	151	176
181	1551	1557	151	155
182	483	512	153	175
183	603	606	153	155
184	1944	1973	153	190
185	2174	2179	153	159
186	736	744	154	162
187	299	308	155	164
188	907	912	156	159
189	389	391	157	159
190	1552	1554	157	159
191	2164	2170	157	162
192	845	863	160	172
193	1277	1283	160	166
194	517	519	165	167
195	538	540	165	167
196	578	580	165	167
197	905	918	165	177
198	515	533	166	184
199	541	544	166	169
200	2000	2006	171	176
201	775	787	172	184
202	2142	2144	173	175
203	1661	1663	174	176
204	608	610	178	180
205	713	729	178	189
206	2228	2239	178	190
207	2292	2299	178	185
208	744	751	179	184
209	569	571	180	182
210	599	602	180	184
211	1571	1593	180	198
212	1983	1995	182	195
213	920	922	183	185
214	2177	2188	183	189
215	1862	1870	184	191
216	1888	1896	184	188
217	1792	1797	186	191
218	600	608	189	198
219	81	83	191	193
220	1652	1661	191	201
221	1494	1497	194	196
222	2012	2018	194	199
223	964	975	195	203
224	66	68	196	198
225	398	406	196	201
226	714	720	197	203
227	159	164	201	204
228	983	1006	201	217
229	1760	1763	201	204
230	330	336	202	206
231	2281	2286	202	207
232	641	651	203	214
233	1511	1515	203	214
234	2062	2075	203	214
235	1579	1581	205	207
236	1991	1994	205	208
237	1989	1991	208	211
238	190	192	209	212
239	2105	2107	209	211
240	884	890	210	215
241	245	250	211	215
242	524	531	211	218
243	938	941	211	214
244	65	75	212	229
245	1966	1968	212	214
246	558	570	213	222
247	726	731	214	217
248	1044	1050	214	218
249	251	258	215	221
250	1658	1664	215	220
251	632	657	216	235
252	399	404	217	222
253	1441	1443	217	219
254	1512	1514	217	219
255	208	210	218	220
256	574	580	219	222
257	89	92	221	225
258	206	208	221	223
259	76	79	222	225
260	92	109	225	238
261	1127	1138	225	232
262	1819	1838	225	233
263	2074	2082	225	231
264	1083	1094	230	238
265	439	458	234	242
266	679	683	234	238
267	793	795	235	237
268	891	910	235	253
269	876	885	237	246
270	988	991	239	242
271	164	169	240	243
272	1496	1505	240	249
273	2169	2173	240	243
274	1847	1858	241	251
275	746	767	242	263
276	124	126	245	247
277	1985	1989	245	248
278	1546	1565	247	269
279	1640	1656	247	260
280	2063	2072	247	254
281	1530	1539	249	258
282	788	793	250	255
283	131	145	252	264
284	130	133	254	256
285	1603	1611	254	261
286	2254	2264	254	266
287	1892	1896	256	259
288	1842	1845	257	261
289	373	380	258	265
290	2276	2278	258	260
291	66	68	261	263
292	762	764	261	263
293	937	947	261	269
294	1568	1580	262	272
295	1611	1614	264	266
296	444	446	265	267
297	506	516	266	273
298	363	383	267	282
299	412	423	267	276
300	1862	1873	267	278
301	536	540	268	272
302	2251	2253	269	271
303	806	808	270	272
304	895	898	271	275
305	2178	2184	271	276
306	422	436	273	285
307	2020	2023	274	277
308	2195	2225	276	309
309	1808	1812	278	282
310	2175	2187	278	289
311	563	570	281	284
312	698	711	283	291
313	1835	1844	284	292
314	913	916	286	288
315	457	459	287	289
316	588	598	287	294
317	641	644	291	294
318	210	223	292	304
319	970	975	292	299
320	897	912	293	316
321	625	627	294	296
322	1004	1009	295	297
323	1757	1764	296	305
324	1988	2001	297	308
325	744	762	298	315
326	203	209	299	304
327	1759	1763	305	308
328	894	904	306	314
329	1806	1811	306	311
330	1838	1842	307	311
331	116	119	309	313
332	2089	2106	312	325
333	1769	1772	313	316
334	1801	1809	314	321
335	469	473	317	320
336	965	991	317	341
337	1103	1106	317	319
338	2185	2194	317	325
339	2218	2229	317	327
340	1828	1833	319	322
341	1658	1682	320	353
342	61	64	321	323
343	312	314	322	324
344	1246	1248	323	325
345	2251	2269	324	339
346	439	445	325	331
347	20	32	326	336
348	935	947	326	338
349	1969	1995	326	355
350	1184	1189	327	331
351	1950	1952	329	331
352	642	644	330	332
353	1920	1928	330	338
354	505	510	331	335
355	629	637	331	336
356	131	147	334	348
357	1958	1966	334	341
358	2294	2299	334	340
359	29	31	335	337
360	980	982	335	337
361	1576	1585	336	343
362	998	1007	338	345
363	914	922	340	345
364	75	92	341	353
365	2223	2235	343	353
366	430	439	344	353
367	256	259	345	349
368	1827	1836	345	354
369	1261	1266	346	349
370	941	947	347	353
371	998	1008	348	355
372	1129	1195	348	391
373	2136	2160	349	371
374	220	223	351	353
375	995	997	351	353
376	1902	1910	351	356
377	863	901	352	389
378	1772	1782	352	360
379	1100	1110	355	363
380	1120	1129	356	363
381	304	339	357	378
382	967	971	357	361
383	811	818	358	363
384	2103	2106	358	361
385	1139	1141	360	362
386	785	792	362	367
387	1969	1986	362	378
388	2275	2289	362	375
389	1027	1040	363	371
390	2177	2185	363	372
391	697	705	366	371
392	1012	1014	366	369
393	556	577	367	387
394	861	863	368	370
395	929	941	368	376
396	420	422	369	371
397	676	686	369	377
398	1523	1535	369	378
399	653	698	370	403
400	768	777	370	379
401	986	990	370	375
402	1120	1126	370	375
403	1568	1585	370	385
404	1599	1613	370	382
405	130	146	372	384
406	171	173	375	377
407	1045	1050	375	379
408	1923	1930	375	381
409	1545	1547	376	378
410	81	97	377	388
411	122	124	378	380
412	1793	1802	379	387
413	1979	1981	379	381
414	512	517	381	386
415	821	825	381	384
416	317	319	383	385
417	1088	1090	384	386
418	589	605	385	391
419	923	931	385	390
420	354	360	388	393
421	518	527	388	397
422	1730	1744	388	403
423	700	703	389	392
424	795	803	389	397
425	1006	1008	389	391
426	1085	1090	389	392
427	1269	1276	389	395
428	291	303	390	400
429	613	616	390	393
430	11	18	391	395
431	786	794	392	396
432	1155	1157	393	395
433	1917	1928	393	404
434	2196	2213	393	407
435	1629	1635	394	400
436	1852	1855	395	398
437	1757	1770	396	406
438	2259	2266	397	403
439	698	709	398	408
440	948	950	398	401
441	1547	1551	398	401
442	1266	1269	399	401
443	1988	2006	401	412
444	1181	1192	402	412
445	974	979	403	409
446	1619	1622	404	407
447	525	532	405	410
448	1474	1481	405	410
449	2135	2139	405	408
450	1165	1168	406	409
451	1634	1636	406	408
452	2266	2269	406	410
453	293	302	407	411
454	1001	1005	407	411
455	1535	1545	409	417
456	1615	1620	411	416
457	158	162	412	416
458	441	444	412	415
459	1127	1134	415	420
460	2028	2036	415	423
461	2263	2291	415	441
462	356	372	416	428
463	0	2	417	425
464	146	152	418	421
465	269	284	418	432
466	923	935	420	434
467	324	326	421	423
468	971	974	422	424
469	1498	1510	422	430
470	1530	1534	422	427
471	1728	1731	422	425
472	407	409	423	425
473	1981	1992	424	434
474	1268	1276	425	436
475	437	441	427	431
476	644	651	427	432
477	484	488	428	430
478	685	696	428	436
479	1147	1149	428	430
480	1125	1127	429	431
481	1100	1137	430	457
482	1202	1204	431	433
483	293	295	432	434
484	1203	1211	432	437
485	1234	1241	432	437
486	468	479	433	444
487	1839	1846	434	439
488	1552	1558	435	442
489	2129	2134	435	439
490	2212	2231	435	450
491	845	855	438	446
492	1180	1183	438	440
493	314	317	439	441
494	1081	1091	440	447
495	1094	1096	440	442
496	1245	1262	441	450
497	215	217	445	447
498	1239	1247	445	454
499	1546	1549	446	449
500	2133	2138	446	451
501	176	180	448	453
502	410	418	449	456
503	809	811	450	452
504	814	817	451	453
505	2282	2287	451	458
506	1511	1522	452	460
507	1553	1561	454	461
508	244	259	455	473
509	851	858	456	462
510	822	833	457	465
511	2006	2012	457	462
512	178	183	459	464
513	2014	2033	459	478
514	747	751	460	464
515	2041	2046	460	464
516	182	190	461	469
517	1554	1566	461	477
518	2147	2166	462	476
519	448	450	464	466
520	944	978	466	503
521	977	984	466	472
522	1167	1196	467	493
523	2004	2010	467	470
524	1208	1217	469	476
525	1504	1506	469	471
526	695	702	470	478
527	2132	2138	471	474
528	1490	1493	472	474
529	1684	1701	472	487
530	1904	1915	472	481
531	475	478	473	479
532	919	928	474	482
533	1761	1769	474	479
534	1216	1223	475	479
535	1079	1096	477	492
536	1211	1213	477	479
537	1955	1958	477	480
538	585	600	478	488
539	2059	2064	478	481
540	1200	1212	479	486
541	229	235	481	485
542	2043	2054	481	499
