Number	xmin	xmax	ymin	ymax	counts
17	1042	1052	11	19	0.0
21	1843	1847	16	21	3066.0671563483647
25	797	813	22	34	11706.83157152927
28	1130	1141	23	33	6676.597099113609
30	1232	1240	25	38	6552.162866449482
35	2270	2285	30	43	0.0
37	1906	1909	31	34	2177.9966329966346
41	843	877	36	78	205687.37000000017
44	772	774	39	42	2410.3333333333303
48	2280	2282	44	46	0.0
50	696	702	45	50	2925.865979381423
52	750	755	46	51	3202.0791366906487
54	714	718	47	51	2496.067643742948
57	1977	1985	49	54	3686.3805899143526
64	350	356	55	61	3660.082272282092
65	1660	1667	56	62	3652.38476374155
70	820	838	62	79	13734.791130185951
71	1233	1240	62	69	3501.7041198501765
76	1148	1172	65	79	14445.673186119911
87	852	855	73	75	17952.567944250884
94	324	331	75	81	4217.58286778396
99	689	696	80	85	3062.3846153846207
100	1132	1139	81	87	3787.157258064506
103	2265	2276	84	93	0.0
105	1729	1734	85	91	3466.4085603112653
106	1891	1908	85	97	18501.63561643836
109	277	291	86	95	7362.45769230767
116	2247	2257	88	97	1208.1070745697953
117	998	1012	89	100	6521.9209932279855
118	67	72	90	94	2386.303626943004
121	350	357	91	95	3251.746327130284
122	880	910	93	132	185661.4053097345
123	1181	1185	93	95	2445.1136890951348
125	1521	1533	96	106	7262.617293835069
128	2237	2240	98	101	7894.8107049608325
130	1025	1027	100	102	5871.697916666656
131	2225	2237	100	111	9874.599999999977
132	832	838	101	105	2805.3975903614682
136	1027	1039	103	117	8981.811250925257
137	95	98	104	106	3928.67865168539
138	1494	1513	105	122	30894.894504106152
140	114	135	110	129	26069.38177486606
141	179	186	110	114	3598.164193867462
145	798	802	112	114	2255.262857142845
146	2092	2109	112	129	48879.15384615385
147	1131	1141	113	122	4432.061396131183
149	1071	1089	115	133	18133.431875000064
151	2047	2062	119	137	24506.8136363636
152	2138	2147	119	127	4859.6198934280565
153	1792	1823	123	139	38582.600692440945
154	2214	2225	123	135	9491.802507836983
157	1596	1606	127	137	6693.537431048067
161	1232	1246	129	143	11262.723969252249
166	1744	1762	136	151	24746.85454545454
167	834	848	137	152	11452.13708513712
168	2185	2188	137	140	3086.94021101994
171	1650	1688	140	176	903342.4279661013
172	669	685	141	154	10579.410027472526
174	330	332	143	146	2303.1404867256624
180	544	571	151	176	78369.00937500005
181	1551	1557	151	155	3200.7792079207766
182	483	512	153	175	96935.50132205186
183	603	606	153	155	1699.2479908151681
184	1944	1973	153	190	58626.763470319594
192	845	863	160	172	11796.205673758905
193	1277	1283	160	166	2614.6291913214945
199	541	544	166	169	17536.55788313121
200	2000	2006	171	176	4129.714863498497
201	775	787	172	184	6767.931547619033
205	713	729	178	189	7787.936416184995
206	2228	2239	178	190	9115.84377758165
210	599	602	180	184	2929.552602436308
215	1862	1870	184	191	4553.990325417788
216	1888	1896	184	188	2888.296404275976
221	1494	1497	194	196	290247.32534246554
