Number	xmin	xmax	ymin	ymax
17	1042	1052	11	19
21	1843	1847	16	21
25	797	813	22	34
28	1130	1141	23	33
30	1232	1240	25	38
35	2270	2285	30	43
37	1906	1909	31	34
41	843	877	36	78
44	772	774	39	42
48	2280	2282	44	46
50	696	702	45	50
52	750	755	46	51
54	714	718	47	51
57	1977	1985	49	54
64	350	356	55	61
65	1660	1667	56	62
70	820	838	62	79
71	1233	1240	62	69
76	1148	1172	65	79
87	852	855	73	75
94	324	331	75	81
99	689	696	80	85
100	1132	1139	81	87
103	2265	2276	84	93
105	1729	1734	85	91
106	1891	1908	85	97
109	277	291	86	95
116	2247	2257	88	97
117	998	1012	89	100
118	67	72	90	94
121	350	357	91	95
122	880	910	93	132
123	1181	1185	93	95
125	1521	1533	96	106
128	2237	2240	98	101
130	1025	1027	100	102
131	2225	2237	100	111
132	832	838	101	105
136	1027	1039	103	117
137	95	98	104	106
138	1494	1513	105	122
140	114	135	110	129
141	179	186	110	114
145	798	802	112	114
146	2092	2109	112	129
147	1131	1141	113	122
149	1071	1089	115	133
151	2047	2062	119	137
152	2138	2147	119	127
153	1792	1823	123	139
154	2214	2225	123	135
157	1596	1606	127	137
161	1232	1246	129	143
166	1744	1762	136	151
167	834	848	137	152
168	2185	2188	137	140
171	1650	1688	140	176
172	669	685	141	154
174	330	332	143	146
180	544	571	151	176
181	1551	1557	151	155
182	483	512	153	175
183	603	606	153	155
184	1944	1973	153	190
192	845	863	160	172
193	1277	1283	160	166
199	541	544	166	169
200	2000	2006	171	176
201	775	787	172	184
205	713	729	178	189
206	2228	2239	178	190
210	599	602	180	184
215	1862	1870	184	191
216	1888	1896	184	188
221	1494	1497	194	196
222	2012	2018	194	199
223	964	975	195	203
225	398	406	196	201
228	983	1006	201	217
230	330	336	202	206
233	1511	1515	203	214
234	2062	2075	203	214
237	1989	1991	208	211
238	190	192	209	212
243	938	941	211	214
244	65	75	212	229
246	558	570	213	222
247	726	731	214	217
248	1044	1050	214	218
249	251	258	215	221
251	632	657	216	235
252	399	404	217	222
254	1512	1514	217	219
255	208	210	218	220
260	92	109	225	238
262	1819	1838	225	233
263	2074	2082	225	231
264	1083	1094	230	238
268	891	910	235	253
269	876	885	237	246
272	1496	1505	240	249
273	2169	2173	240	243
274	1847	1858	241	251
275	746	767	242	263
277	1985	1989	245	248
279	1640	1656	247	260
280	2063	2072	247	254
281	1530	1539	249	258
282	788	793	250	255
286	2254	2264	254	266
287	1892	1896	256	259
298	363	383	267	282
300	1862	1873	267	278
304	895	898	271	275
307	2020	2023	274	277
308	2195	2225	276	309
309	1808	1812	278	282
312	698	711	283	291
316	588	598	287	294
317	641	644	291	294
319	970	975	292	299
320	897	912	293	316
322	1004	1009	295	297
323	1757	1764	296	305
324	1988	2001	297	308
325	744	762	298	315
328	894	904	306	314
331	116	119	309	313
332	2089	2106	312	325
335	469	473	317	320
339	2218	2229	317	327
345	2251	2269	324	339
346	439	445	325	331
348	935	947	326	338
349	1969	1995	326	355
353	1920	1928	330	338
355	629	637	331	336
356	131	147	334	348
361	1576	1585	336	343
364	75	92	341	353
365	2223	2235	343	353
366	430	439	344	353
367	256	259	345	349
368	1827	1836	345	354
369	1261	1266	346	349
372	1129	1195	348	391
373	2136	2160	349	371
376	1902	1910	351	356
377	863	901	352	389
378	1772	1782	352	360
379	1100	1110	355	363
383	811	818	358	363
387	1969	1986	362	378
388	2275	2289	362	375
390	2177	2185	363	372
391	697	705	366	371
393	556	577	367	387
395	929	941	368	376
400	768	777	370	379
404	1599	1613	370	382
405	130	146	372	384
406	171	173	375	377
408	1923	1930	375	381
410	81	97	377	388
412	1793	1802	379	387
415	821	825	381	384
420	354	360	388	393
422	1730	1744	388	403
423	700	703	389	392
427	1269	1276	389	395
433	1917	1928	393	404
434	2196	2213	393	407
436	1852	1855	395	398
441	1547	1551	398	401
443	1988	2006	401	412
444	1181	1192	402	412
448	1474	1481	405	410
458	441	444	412	415
460	2028	2036	415	423
461	2263	2291	415	441
462	356	372	416	428
465	269	284	418	432
466	923	935	420	434
471	1728	1731	422	425
472	407	409	423	425
473	1981	1992	424	434
474	1268	1276	425	436
478	685	696	428	436
479	1147	1149	428	430
481	1100	1137	430	457
484	1203	1211	432	437
486	468	479	433	444
487	1839	1846	434	439
491	845	855	438	446
493	314	317	439	441
500	2133	2138	446	451
505	2282	2287	451	458
506	1511	1522	452	460
508	244	259	455	473
509	851	858	456	462
516	182	190	461	469
518	2147	2166	462	476
522	1167	1196	467	493
527	2132	2138	471	474
528	1490	1493	472	474
529	1684	1701	472	487
530	1904	1915	472	481
