Number	xmin	xmax	ymin	ymax	counts magnitude
17	1042	1052	11	19	0.0 error
21	1843	1847	16	21	3066.0671563483647 16.583545842464623
25	797	813	22	34	11706.83157152927 15.128901574700444
28	1130	1141	23	33	6676.597099113609 15.738612076456562
30	1232	1240	25	38	6552.162866449482 15.759038289748675
35	2270	2285	30	43	0.0 error
37	1906	1909	31	34	2177.9966329966346 16.95485698990804
41	843	877	36	78	205687.37000000017 12.01698093711841
44	772	774	39	42	2410.3333333333303 16.844807232964463
48	2280	2282	44	46	0.0 error
50	696	702	45	50	2925.865979381423 16.634363927027223
52	750	755	46	51	3202.0791366906487 16.53641984765379
54	714	718	47	51	2496.067643742948 16.80685912348943
57	1977	1985	49	54	3686.3805899143526 16.383499573248805
64	350	356	55	61	3660.082272282092 16.39127288077863
65	1660	1667	56	62	3652.38476374155 16.39355869396716
70	820	838	62	79	13734.791130185951 14.955444851656495
71	1233	1240	62	69	3501.7041198501765 16.43930138217131
76	1148	1172	65	79	14445.673186119911 14.900655536729303
87	852	855	73	75	17952.567944250884 14.664683552358774
94	324	331	75	81	4217.58286778396 16.237340938908304
99	689	696	80	85	3062.3846153846207 16.584850664197738
100	1132	1139	81	87	3787.157258064506 16.3542166521097
103	2265	2276	84	93	0.0 error
105	1729	1734	85	91	3466.4085603112653 16.45030062870054
106	1891	1908	85	97	18501.63561643836 14.631974691452683
109	277	291	86	95	7362.45769230767 15.632442969578358
116	2247	2257	88	97	1208.1070745697953 17.59473643118701
117	998	1012	89	100	6521.9209932279855 15.764061166390682
118	67	72	90	94	2386.303626943004 16.855685746680365
121	350	357	91	95	3251.746327130284 16.51970835405456
122	880	910	93	132	185661.4053097345 12.128195916512848
123	1181	1185	93	95	2445.1136890951348 16.82925235730307
125	1521	1533	96	106	7262.617293835069 15.647267101339153
128	2237	2240	98	101	7894.8107049608325 15.556645696684036
130	1025	1027	100	102	5871.697916666656 15.87809073955024
131	2225	2237	100	111	9874.599999999977 15.313701219332543
132	832	838	101	105	2805.3975903614682 16.68001395093605
